team_id,TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS,season_year,season_type_code,season_type
1610612737,ATL,82,40,42,3956,115.49411476178437,116.6024578298729,-1.10834306808853,68.22272215973004,2.013278008298755,20.221722097190966,26.300188628402047,75.99431818181819,50.49094177845388,14.360789215555688,54.57503320053121,57.91895768587138,101.81076332828697,49.77339740089549,8390.903744306317,2024-25,002,regular_season
1610612751,BKN,82,26,56,3956,109.66617433421803,117.08413229185223,-7.417957957634201,66.850291639663,1.812829525483304,18.742209672906196,24.50657894736842,75.04515352197471,48.59397417503587,14.479650352980638,51.59348441926346,55.20583533173461,95.36063660166293,45.36655426501811,7859.305799920387,2024-25,002,regular_season
1610612738,BOS,82,61,21,3966,121.36785203717263,111.85853952702284,9.509312510149783,62.81863463228831,2.3029001074113857,19.23629055412001,25.653010723123455,75.99672310212998,50.91108371009727,11.851633128446371,56.10268219994582,59.06624042822095,95.07361538029727,54.0656957833973,7855.457470797061,2024-25,002,regular_season
1610612766,CHA,82,19,63,3951,108.08317975725947,117.45172643614933,-9.368546678889857,63.46276257161044,1.6357670221493028,17.74930925456462,26.492340200739566,74.46280991735537,49.973031283710895,15.288163857519063,50.28051450465244,53.71987373523296,96.86850216879077,44.952048288752025,7973.488584768591,2024-25,002,regular_season
1610612741,CHI,82,39,43,3951,114.99705080335728,116.5208212487848,-1.523770445427516,67.25938470222975,2.084864391951006,20.224944154371578,22.279233054280315,76.55801825293351,49.893871053329796,13.606793899403456,55.3479125248509,58.49950584268357,102.05273105671041,49.50660956991249,8400.215425105476,2024-25,002,regular_season
1610612739,CLE,82,64,18,3951,122.71089766819571,113.11394577535351,9.596951892842199,63.08871851040526,2.2412451361867705,19.922316799424465,25.896639367410337,74.76685318411937,51.04195228955306,12.615941874477967,57.81166039763568,60.7257206434655,98.99371963932757,54.45083461916117,8148.42054781215,2024-25,002,regular_season
1610612742,DAL,82,39,43,3946,115.59769929888486,116.80750008180783,-1.2098007829229687,60.12198663955852,1.8973418881759854,18.50137106778831,23.34367070764026,73.06652244456463,48.72325741890959,13.468292389479215,54.94856825132054,58.32552669869048,98.53632728822197,49.59682031339357,8100.507239152581,2024-25,002,regular_season
1610612743,DEN,82,50,32,3971,120.69731670154754,116.80896646646435,3.8883502350831805,68.25993555316863,2.288028802880288,21.447929287645252,26.738434681408204,74.62450592885375,51.86670353982301,13.542185301496596,57.29039271640168,60.38570745557974,99.16688172478557,52.92977050573736,8203.993486023406,2024-25,002,regular_season
1610612765,DET,82,44,38,3961,115.93949775355365,114.02981961507257,1.909678138481084,61.80416785612332,1.8744588744588744,18.848311574343313,26.232741617357004,76.0410882842865,51.32149349741295,14.138963140677275,54.71275295395899,57.987323729801474,98.99216370921845,50.875477735312415,8168.9158427544635,2024-25,002,regular_season
1610612744,GSW,82,48,34,3946,115.99678749089728,112.6399672741189,3.356820216778374,71.39437462597247,2.2051756007393717,20.433610463104745,27.272727272727273,75.59674248806515,50.736296700299974,13.45214620205261,53.61575822989746,56.82897949040303,97.84076472991964,51.46677662582469,8043.326200505477,2024-25,002,regular_season
1610612745,HOU,82,52,30,3956,116.24470003929012,111.65544064806761,4.589259391222512,54.936854190585535,1.7887850467289719,16.705302406122136,31.670625494853525,76.21532546003846,53.4993270524899,13.271642023265091,52.265308787047914,55.3022149209766,97.82369730409064,51.47544045321546,8062.303052812138,2024-25,002,regular_season
1610612754,IND,82,50,32,3971,117.5282864283629,115.29349045824752,2.2347959701153854,67.09569110240626,2.3956043956043955,20.846880618138698,21.321236178055003,74.45093133166527,48.14710836608647,12.224211836532758,56.16298116298116,59.37867106289302,98.98162068436211,52.09990233012418,8188.666994533374,2024-25,002,regular_season
1610612746,LAC,82,50,32,3961,116.0867178491131,111.29575779959265,4.79096004952045,60.54561454972133,1.82171226831421,18.672919923571303,24.40510737086477,77.50845546786923,51.3440091507006,14.209837005514816,55.406360424028264,58.90708768857141,96.62226378864628,52.15004303053684,7973.349726392248,2024-25,002,regular_season
1610612747,LAL,82,50,32,3946,116.82957707634895,115.57307484924259,1.2565022271063668,63.49821215733016,1.9804832713754648,19.283532171193606,23.28726845045575,74.5146977260122,49.65034965034965,13.519963963664386,55.687169972884256,59.26913721270596,96.81015016223759,51.09125829356304,7958.601094587282,2024-25,002,regular_season
1610612763,MEM,82,48,34,3941,118.44738572603181,113.72373246761893,4.723653258412881,63.48773841961853,1.8989405052974735,19.33366081622899,28.687856560717197,74.89373007438894,52.04835460040295,14.562619467519143,55.395166557805354,58.743754797210435,102.62185577917465,52.41550667758421,8425.681950535985,2024-25,002,regular_season
1610612748,MIA,82,37,45,3986,114.63402359628269,114.05257414370479,0.5814494525778997,65.28028933092224,2.0907335907335907,19.570355699798334,22.284278134599273,75.82417582417582,49.27295388450353,13.095252888493645,54.35696273465956,57.6485933972051,95.26860560177553,50.467559455091205,7911.263790180777,2024-25,002,regular_season
1610612749,MIL,82,48,34,3951,116.74139771071424,114.23944419136511,2.5019535193491294,60.66763425253991,1.9942748091603053,18.90752501402233,19.334480780263913,76.18292360560402,48.92007153666254,12.9164891048172,56.84128777181587,59.82970767326107,98.57141896235673,51.2884455527847,8113.659923338988,2024-25,002,regular_season
